Graph,Algorithm,Max threads,median,std
"('Erdos-Renyi random p=0.200000', 10000)",Filter Sollin,20,412378.37274200004,88404.14630993281
"('Erdos-Renyi random p=0.200000', 10000)",Filter Sollin,22,394539.2901,169976.97694749566
"('Erdos-Renyi random p=0.200000', 10000)",Filter Sollin,24,394338.582031,165267.11982144834
"('Erdos-Renyi random p=0.200000', 10000)",Filter Sollin,26,392407.380554,95264.4543785453
"('Erdos-Renyi random p=0.200000', 10000)",Filter Sollin,28,344359.70629899995,133514.22125315323
"('Erdos-Renyi random p=0.200000', 10000)",Filter Sollin,30,421593.993042,197282.5939631243
"('Erdos-Renyi random p=0.200000', 10000)",Filter Sollin,32,365449.179688,174847.64236374534
"('Erdos-Renyi random p=0.200000', 10000)",Sequential Kruskal,1,5105022.41687,1279894.8741972619
"('Erdos-Renyi random p=0.200000', 10000)",Sequential Kruskal,2,3917516.8713379996,615279.1725217758
"('Erdos-Renyi random p=0.200000', 10000)",Sequential Kruskal,4,4890100.960205,1216551.126360971
"('Erdos-Renyi random p=0.200000', 10000)",Sequential Kruskal,6,4729820.143921,1615696.4198360837
"('Erdos-Renyi random p=0.200000', 10000)",Sequential Kruskal,8,3810734.860718,934274.2207292157
"('Erdos-Renyi random p=0.200000', 10000)",Sequential Kruskal,10,4264452.086304,968134.9554593123
"('Erdos-Renyi random p=0.200000', 10000)",Sequential Kruskal,12,3109997.940796,1560479.1458863798
"('Erdos-Renyi random p=0.200000', 10000)",Sequential Kruskal,14,4226425.251708999,2013715.5524914844
"('Erdos-Renyi random p=0.200000', 10000)",Sequential Kruskal,16,5527013.833252,2017962.959002959
"('Erdos-Renyi random p=0.200000', 10000)",Sequential Kruskal,18,3615102.4731449997,3096129.0176867843
"('Erdos-Renyi random p=0.200000', 10000)",Sequential Kruskal,20,3840571.906372,760042.631796491
"('Erdos-Renyi random p=0.200000', 10000)",Sequential Kruskal,22,4653502.986816,1145935.6235066268
"('Erdos-Renyi random p=0.200000', 10000)",Sequential Kruskal,24,4735102.688599,1210815.359461992
"('Erdos-Renyi random p=0.200000', 10000)",Sequential Kruskal,26,4216227.768555,782638.77486245
"('Erdos-Renyi random p=0.200000', 10000)",Sequential Kruskal,28,3985299.997314,1076709.2788847694
"('Erdos-Renyi random p=0.200000', 10000)",Sequential Kruskal,30,3329072.5292970003,2659951.4791795956
"('Erdos-Renyi random p=0.200000', 10000)",Sequential Kruskal,32,4217317.642212001,1491465.4651166669
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin AL,1,28612994.186279,1217869.3572692245
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin AL,2,28424060.785645,1933802.3477630059
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin AL,4,18760206.677246,1475000.7934346863
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin AL,6,12771143.840332001,1030607.9001989948
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin AL,8,11940368.190918,629449.3645229441
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin AL,10,10629791.708252002,1299493.7924269352
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin AL,12,10334361.0627445,622805.8562972025
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin AL,14,10031988.816406,825161.9414458124
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin AL,16,9143840.498047,1154278.3483200038
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin AL,18,10017086.864746,1146849.1204465705
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin AL,20,9836343.178711,822453.0199339968
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin AL,22,10299345.756958,1050824.3065466767
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin AL,24,10836400.400391001,1169629.0081591848
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin AL,26,11674568.883301,890412.7734574314
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin AL,28,13282138.379883,1573158.6206329642
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin AL,30,15008295.515625,2360695.1829348323
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin AL,32,13170143.257858,4249219.409613323
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin FAL,1,4882905.952393,917151.1417337987
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin FAL,2,5096879.819061499,886840.9119287792
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin FAL,4,3349162.1773074996,974246.546952599
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin FAL,6,2431201.8910219995,629776.7435189646
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin FAL,8,2353141.412292,779872.943076032
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin FAL,10,1545603.467468,535466.5472495097
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin FAL,12,1646413.003723,367890.115817347
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin FAL,14,1305918.4729614998,988905.8230009134
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin FAL,16,1074719.448204,587193.3584449587
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin FAL,18,949169.31369,172106.80369723134
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin FAL,20,895899.37793,379550.6267190129
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin FAL,22,861073.082703,233657.83843427987
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin FAL,24,816651.410156,606914.906599099
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin FAL,26,813972.205688,1371672.3594343574
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin FAL,28,764052.4044189999,756475.4916585002
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin FAL,30,831937.689636,290323.5460340087
"('Erdos-Renyi random p=0.200000', 10000)",parallel sollin FAL,32,728520.31366,1220618.5253404132
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaMixedMerge,1,74572.50717150001,567.3969030295347
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaMixedMerge,2,346270.26123049995,7579.919918633055
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaMixedMerge,4,634859.9362185,4384.979527554356
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaMixedMerge,6,627722.8118895,5256.792692168572
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaMixedMerge,8,634789.9899899999,2501.788739494999
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaMixedMerge,10,951592.6415715001,12937.239904387805
"('Preferential attachment 100 edges per vertice', 1000)",Boost BoruvkaMixedMerge,12,952950.6468199999,16589.724791189725
