Graph,Algorithm,Max threads,median,std
"('Preferential attachment 1000 edges per vertice', 10000)",Boost Prim,8,14371896.948608499,298522.1122236857
"('Preferential attachment 1000 edges per vertice', 10000)",Boost Prim,16,14103459.514282,343032.12109205965
"('Preferential attachment 1000 edges per vertice', 10000)",Boost Prim,32,14084734.609863002,390168.96864154836
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Kruskal,1,1165644.7556154998,161555.8919579153
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Kruskal,2,717441.2447510001,118942.49867054519
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Kruskal,4,436718.422241,100509.46924940564
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Kruskal,8,217534.57690400002,78533.11004292851
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Kruskal,16,203304.60058600002,49429.22291982374
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Kruskal,32,206957.6348265,96354.3584102162
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Sollin,1,1009710.8673095,369886.4701259333
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Sollin,2,714335.0629885001,2323710.188283339
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Sollin,4,5558856.4383545,3495970.8418263164
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Sollin,8,4925794.7698975,3031751.236978649
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Sollin,16,8555939.6811525,3281433.3283574306
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Sollin,32,4072184.742676,3234388.608859311
"('Preferential attachment 1000 edges per vertice', 10000)",Sequential Kruskal,1,4721347.7890625,250841.00755456698
"('Preferential attachment 1000 edges per vertice', 10000)",Sequential Kruskal,2,4307406.649048001,369676.37244457117
"('Preferential attachment 1000 edges per vertice', 10000)",Sequential Kruskal,4,3691688.1638185,234533.32046995108
"('Preferential attachment 1000 edges per vertice', 10000)",Sequential Kruskal,8,3461087.1435545003,278150.57457158185
"('Preferential attachment 1000 edges per vertice', 10000)",Sequential Kruskal,16,5114586.9521485,389381.8579769236
"('Preferential attachment 1000 edges per vertice', 10000)",Sequential Kruskal,32,4049553.1156005003,1113570.776490356
"('Preferential attachment 1000 edges per vertice', 10000)",parallel sollin FAL,1,5280636.686035,501802.586172312
"('Preferential attachment 1000 edges per vertice', 10000)",parallel sollin FAL,2,6471223.4875489995,3612818.821544493
"('Preferential attachment 1000 edges per vertice', 10000)",parallel sollin FAL,4,9310020.7109375,3681126.3279271205
"('Preferential attachment 1000 edges per vertice', 10000)",parallel sollin FAL,8,7250054.013183501,3352872.159615075
"('Preferential attachment 1000 edges per vertice', 10000)",parallel sollin FAL,16,3347381.0181885,3696977.880828941
"('Preferential attachment 1000 edges per vertice', 10000)",parallel sollin FAL,32,7617945.3615725,2886886.2682264238
"('Preferential attachment 50 edges per vertice', 100000)",Boost Kruskal,1,6338276.1196285,314796.8492721547
"('Preferential attachment 50 edges per vertice', 100000)",Boost Kruskal,2,5942263.648804,171264.03921312653
"('Preferential attachment 50 edges per vertice', 100000)",Boost Kruskal,4,5848356.217285,38321.359910492545
"('Preferential attachment 50 edges per vertice', 100000)",Boost Kruskal,8,5925030.2380369995,124620.06166329235
"('Preferential attachment 50 edges per vertice', 100000)",Boost Kruskal,16,5947942.2418215,30469.065645710874
"('Preferential attachment 50 edges per vertice', 100000)",Boost Kruskal,32,5894411.1872555,33918.34201936824
"('Preferential attachment 50 edges per vertice', 100000)",Boost Prim,1,5285424.254517,348347.80564212456
"('Preferential attachment 50 edges per vertice', 100000)",Boost Prim,2,4984634.1677250005,155797.28663631118
"('Preferential attachment 50 edges per vertice', 100000)",Boost Prim,4,4890862.730957,1584.219571646084
"('Preferential attachment 50 edges per vertice', 100000)",Boost Prim,8,4999391.4593505,125947.26846355162
"('Preferential attachment 50 edges per vertice', 100000)",Boost Prim,16,4984121.278198499,125451.30901537473
"('Preferential attachment 50 edges per vertice', 100000)",Boost Prim,32,4901247.069701999,1199.658616732112
"('Preferential attachment 50 edges per vertice', 100000)",Filter Kruskal,1,639562.2741699999,453782.3842260897
"('Preferential attachment 50 edges per vertice', 100000)",Filter Kruskal,2,316936.322998,67705.41722999747
"('Preferential attachment 50 edges per vertice', 100000)",Filter Kruskal,4,193949.70556650002,57845.379126569635
"('Preferential attachment 50 edges per vertice', 100000)",Filter Kruskal,8,177957.217224,58187.591324054956
"('Preferential attachment 50 edges per vertice', 100000)",Filter Kruskal,16,144882.574585,41850.037794890464
"('Preferential attachment 50 edges per vertice', 100000)",Filter Kruskal,32,191921.3392335,54336.87557696516
"('Preferential attachment 50 edges per vertice', 100000)",Filter Sollin,1,1805197.1114500002,256463.80170702524
"('Preferential attachment 50 edges per vertice', 100000)",Filter Sollin,2,4672954.142578,2463553.3678298667
"('Preferential attachment 50 edges per vertice', 100000)",Filter Sollin,4,6215959.56897,3181270.4054144328
"('Preferential attachment 50 edges per vertice', 100000)",Filter Sollin,8,6480493.11438,2903089.6122339554
"('Preferential attachment 50 edges per vertice', 100000)",Filter Sollin,16,4541248.0168455,1550379.20802693
"('Preferential attachment 50 edges per vertice', 100000)",Filter Sollin,32,3243817.6228030003,1883224.689365929
"('Preferential attachment 50 edges per vertice', 100000)",Sequential Kruskal,1,2416111.2791745,255708.93451635315
"('Preferential attachment 50 edges per vertice', 100000)",Sequential Kruskal,2,2101023.0012205,84023.34675931421
"('Preferential attachment 50 edges per vertice', 100000)",Sequential Kruskal,4,2248374.9996335004,619637.0845366117
"('Preferential attachment 50 edges per vertice', 100000)",Sequential Kruskal,8,2051767.5037845,271061.44049258425
"('Preferential attachment 50 edges per vertice', 100000)",Sequential Kruskal,16,2232337.5092775,134120.74319575835
"('Preferential attachment 50 edges per vertice', 100000)",Sequential Kruskal,32,1962452.6970215002,167156.56209117474
"('Preferential attachment 50 edges per vertice', 100000)",parallel sollin FAL,1,3195060.203125,754275.598284137
"('Preferential attachment 50 edges per vertice', 100000)",parallel sollin FAL,2,2677014.762329,2719869.411811635
"('Preferential attachment 50 edges per vertice', 100000)",parallel sollin FAL,4,6552652.164795,2934510.089203019
"('Preferential attachment 50 edges per vertice', 100000)",parallel sollin FAL,8,4227533.9914555,2339500.7640483724
"('Preferential attachment 50 edges per vertice', 100000)",parallel sollin FAL,16,2877974.67041,2245583.5014073793
"('Preferential attachment 50 edges per vertice', 100000)",parallel sollin FAL,32,4131200.7928465,2393215.322793306
