Filter Sollin,10,Preferential attachment 50 edges per vertice,50000,0.18841052342557463
Filter Sollin,10,USA-road-d.,264346,0.03587952010559148
Filter Sollin,10,USA-road-d.,321270,0.15829129510494644
Filter Sollin,12,Erdos-Renyi random p=0.002000,50000,0.28859202009344154
Filter Sollin,12,Erdos-Renyi random p=0.200000,10000,0.6826105664157582
Filter Sollin,12,Preferential attachment 1000 edges per vertice,10000,0.2993075392772845
Filter Sollin,12,Preferential attachment 50 edges per vertice,50000,0.1838579292505539
Filter Sollin,12,USA-road-d.,264346,0.01988050961609178
Filter Sollin,12,USA-road-d.,321270,0.0726017811636982
Filter Sollin,14,Erdos-Renyi random p=0.002000,50000,0.3727893198627936
Filter Sollin,14,Erdos-Renyi random p=0.200000,10000,0.7118460209686533
Filter Sollin,14,Preferential attachment 1000 edges per vertice,10000,0.3281009729983855
Filter Sollin,14,Preferential attachment 50 edges per vertice,50000,0.14452587046750043
Filter Sollin,14,USA-road-d.,264346,-0.04160865520931312
Filter Sollin,14,USA-road-d.,321270,0.06383282276360325
Filter Sollin,16,Erdos-Renyi random p=0.002000,50000,0.42296548301454195
Filter Sollin,16,Erdos-Renyi random p=0.200000,10000,0.7402874115726668
Filter Sollin,16,Preferential attachment 1000 edges per vertice,10000,0.3901153793491736
Filter Sollin,16,Preferential attachment 50 edges per vertice,50000,0.17097317006732637
Filter Sollin,16,USA-road-d.,264346,-0.07624188278217847
Filter Sollin,16,USA-road-d.,321270,-0.00315684553933826
Filter Sollin,18,Erdos-Renyi random p=0.002000,50000,0.34844937154948175
Filter Sollin,18,Erdos-Renyi random p=0.200000,10000,0.7426796451765314
Filter Sollin,18,Preferential attachment 1000 edges per vertice,10000,0.42304226016419255
Filter Sollin,18,Preferential attachment 50 edges per vertice,50000,0.15588338118942802
Filter Sollin,18,USA-road-d.,264346,-0.15678189264874165
Filter Sollin,18,USA-road-d.,321270,-0.03996323364744492
Filter Sollin,20,Erdos-Renyi random p=0.002000,50000,0.37772523037290995
Filter Sollin,20,Erdos-Renyi random p=0.200000,10000,0.7464074539656056
Filter Sollin,20,Preferential attachment 1000 edges per vertice,10000,0.4861155637783585
Filter Sollin,20,Preferential attachment 50 edges per vertice,50000,0.17032220906814832
Filter Sollin,20,USA-road-d.,264346,-0.19666728059721894
Filter Sollin,20,USA-road-d.,321270,-0.11297740269229295
Filter Sollin,22,Erdos-Renyi random p=0.002000,50000,0.36168829510129796
Filter Sollin,22,Erdos-Renyi random p=0.200000,10000,0.7560370063564834
Filter Sollin,22,Preferential attachment 1000 edges per vertice,10000,0.49412860517402646
Filter Sollin,22,Preferential attachment 50 edges per vertice,50000,0.18623882593690022
Filter Sollin,22,USA-road-d.,264346,-0.2350635028028638
Filter Sollin,22,USA-road-d.,321270,-0.1635566812823075
Filter Sollin,24,Erdos-Renyi random p=0.002000,50000,0.3670670515026139
Filter Sollin,24,Erdos-Renyi random p=0.200000,10000,0.7531964636691482
Filter Sollin,24,Preferential attachment 1000 edges per vertice,10000,0.539436518532694
Filter Sollin,24,Preferential attachment 50 edges per vertice,50000,0.15112652664351456
Filter Sollin,24,USA-road-d.,264346,-0.2819740597509408
Filter Sollin,24,USA-road-d.,321270,-0.19240323070049858
Filter Sollin,26,Erdos-Renyi random p=0.002000,50000,0.3581676552132774
Filter Sollin,26,Erdos-Renyi random p=0.200000,10000,0.7521026724166903
Filter Sollin,26,Preferential attachment 1000 edges per vertice,10000,0.5379374938517669
Filter Sollin,26,Preferential attachment 50 edges per vertice,50000,0.1942652320822995
Filter Sollin,26,USA-road-d.,264346,-0.3491683754246808
Filter Sollin,26,USA-road-d.,321270,-0.2557208505032533
Filter Sollin,28,Erdos-Renyi random p=0.002000,50000,0.31529571819122226
Filter Sollin,28,Erdos-Renyi random p=0.200000,10000,0.7851106124946655
Filter Sollin,28,Preferential attachment 1000 edges per vertice,10000,0.5663957732015515
Filter Sollin,28,Preferential attachment 50 edges per vertice,50000,0.17578321228597737
Filter Sollin,28,USA-road-d.,264346,-0.41140693959700614
Filter Sollin,28,USA-road-d.,321270,-0.30023437231808114
Filter Sollin,30,Erdos-Renyi random p=0.002000,50000,0.27001383868130313
Filter Sollin,30,Erdos-Renyi random p=0.200000,10000,0.726813008911757
Filter Sollin,30,Preferential attachment 1000 edges per vertice,10000,0.5817336848996602
Filter Sollin,30,Preferential attachment 50 edges per vertice,50000,0.1432678215378782
Filter Sollin,30,USA-road-d.,264346,-0.48302422308848736
Filter Sollin,30,USA-road-d.,321270,-0.34610946682453525
Filter Sollin,32,Erdos-Renyi random p=0.002000,50000,0.2484752232071138
Filter Sollin,32,Erdos-Renyi random p=0.200000,10000,0.7661350692094284
Filter Sollin,32,Preferential attachment 1000 edges per vertice,10000,0.5787297494198681
Filter Sollin,32,Preferential attachment 50 edges per vertice,50000,0.1553062183394509
Filter Sollin,32,USA-road-d.,264346,-0.5302213436292023
Filter Sollin,32,USA-road-d.,321270,-0.40312108622357234
Kruskal,1,Erdos-Renyi random p=0.002000,50000,0.0
Kruskal,1,Erdos-Renyi random p=0.200000,10000,0.0
Kruskal,1,Preferential attachment 1000 edges per vertice,10000,0.0
Kruskal,1,Preferential attachment 50 edges per vertice,50000,0.0
Kruskal,1,USA-road-d.,264346,0.0
Kruskal,1,USA-road-d.,321270,0.0
Kruskal,2,Erdos-Renyi random p=0.002000,50000,0.15950547160574557
Kruskal,2,Erdos-Renyi random p=0.200000,10000,0.3031425397662495
Kruskal,2,Preferential attachment 1000 edges per vertice,10000,0.29200070841759995
Kruskal,2,Preferential attachment 50 edges per vertice,50000,0.20299416744288679
Kruskal,2,USA-road-d.,264346,-0.19586902429421515
Kruskal,2,USA-road-d.,321270,-0.39002498230384397
Kruskal,4,Erdos-Renyi random p=0.002000,50000,0.20470463290593433
Kruskal,4,Erdos-Renyi random p=0.200000,10000,0.24164610908302686
Kruskal,4,Preferential attachment 1000 edges per vertice,10000,0.42497273573425265
Kruskal,4,Preferential attachment 50 edges per vertice,50000,0.24212304015563613
Kruskal,4,USA-road-d.,264346,-0.10104604246303528
Kruskal,4,USA-road-d.,321270,-0.20523959017197124
Kruskal,6,Erdos-Renyi random p=0.002000,50000,0.19928864028345306
Kruskal,6,Erdos-Renyi random p=0.200000,10000,0.23222313075448342
Kruskal,6,Preferential attachment 1000 edges per vertice,10000,0.4093029289277489
Kruskal,6,Preferential attachment 50 edges per vertice,50000,0.26367970135462215
Kruskal,6,USA-road-d.,264346,-0.032976370919387765
Kruskal,6,USA-road-d.,321270,-0.17384802217451623
Kruskal,8,Erdos-Renyi random p=0.002000,50000,0.2163192654383288
Kruskal,8,Erdos-Renyi random p=0.200000,10000,0.28171867627117
Kruskal,8,Preferential attachment 1000 edges per vertice,10000,0.36482986721763877
Kruskal,8,Preferential attachment 50 edges per vertice,50000,0.2654964368233522
Kruskal,8,USA-road-d.,264346,-0.026372519115696935
Kruskal,8,USA-road-d.,321270,-0.15218597978847215
Kruskal,10,Erdos-Renyi random p=0.002000,50000,0.20097041758238865
Kruskal,10,Erdos-Renyi random p=0.200000,10000,0.2646795272523168
Kruskal,10,Preferential attachment 1000 edges per vertice,10000,0.39515400157737357
Kruskal,10,Preferential attachment 50 edges per vertice,50000,0.24492794228695014
Kruskal,10,USA-road-d.,264346,-0.013252796022184654
Kruskal,10,USA-road-d.,321270,-0.14085056917736538
Kruskal,12,Erdos-Renyi random p=0.002000,50000,0.22865098942902662
Kruskal,12,Erdos-Renyi random p=0.200000,10000,0.3220075319817657
Kruskal,12,Preferential attachment 1000 edges per vertice,10000,0.36738651353098895
Kruskal,12,Preferential attachment 50 edges per vertice,50000,0.2602711524050597
Kruskal,12,USA-road-d.,264346,-0.008556446423276798
Kruskal,12,USA-road-d.,321270,-0.13587609521519872
Kruskal,14,Erdos-Renyi random p=0.002000,50000,0.19976392160128387
Kruskal,14,Erdos-Renyi random p=0.200000,10000,0.28168948433339913
Kruskal,14,Preferential attachment 1000 edges per vertice,10000,0.3758514242474541
Kruskal,14,Preferential attachment 50 edges per vertice,50000,0.2359334854651589
Kruskal,14,USA-road-d.,264346,-0.010795413090039618
Kruskal,14,USA-road-d.,321270,-0.1365948712726781
Kruskal,16,Erdos-Renyi random p=0.002000,50000,0.21101646535186036
Kruskal,16,Erdos-Renyi random p=0.200000,10000,0.2969035547669724
Kruskal,16,Preferential attachment 1000 edges per vertice,10000,0.30007873597433354
Kruskal,16,Preferential attachment 50 edges per vertice,50000,0.26159424942770115
Kruskal,16,USA-road-d.,264346,0.006791309791417843
Kruskal,16,USA-road-d.,321270,-0.13175260383135257
Kruskal,18,Erdos-Renyi random p=0.002000,50000,0.20415818335854363
Kruskal,18,Erdos-Renyi random p=0.200000,10000,0.3316606490927977
Kruskal,18,Preferential attachment 1000 edges per vertice,10000,0.3026609179678169
Kruskal,18,Preferential attachment 50 edges per vertice,50000,0.23947154126478087
Kruskal,18,USA-road-d.,264346,-0.006380627486709978
Kruskal,18,USA-road-d.,321270,-0.14948997693483723
Kruskal,20,Erdos-Renyi random p=0.002000,50000,0.22390812678728655
Kruskal,20,Erdos-Renyi random p=0.200000,10000,0.31137980572042234
Kruskal,20,Preferential attachment 1000 edges per vertice,10000,0.34149525376369905
Kruskal,20,Preferential attachment 50 edges per vertice,50000,0.2764307678235124
Kruskal,20,USA-road-d.,264346,-0.004802524820681997
Kruskal,20,USA-road-d.,321270,-0.14719373611864417
Kruskal,22,Erdos-Renyi random p=0.002000,50000,0.223212925087394
Kruskal,22,Erdos-Renyi random p=0.200000,10000,0.25456836255671567
Kruskal,22,Preferential attachment 1000 edges per vertice,10000,0.37556025443690777
Kruskal,22,Preferential attachment 50 edges per vertice,50000,0.2630409022308503
Kruskal,22,USA-road-d.,264346,0.00010000396957399182
Kruskal,22,USA-road-d.,321270,-0.13348077220562837
Kruskal,24,Erdos-Renyi random p=0.002000,50000,0.21340570806089443
Kruskal,24,Erdos-Renyi random p=0.200000,10000,0.2940231121546715
Kruskal,24,Preferential attachment 1000 edges per vertice,10000,0.32883538345039487
Kruskal,24,Preferential attachment 50 edges per vertice,50000,0.25839036458181586
Kruskal,24,USA-road-d.,264346,0.0008449385774293994
Kruskal,24,USA-road-d.,321270,-0.1274587336912254
Kruskal,26,Erdos-Renyi random p=0.002000,50000,0.22970920714919574
Kruskal,26,Erdos-Renyi random p=0.200000,10000,0.30508550886242536
Kruskal,26,Preferential attachment 1000 edges per vertice,10000,0.39937023233778657
Kruskal,26,Preferential attachment 50 edges per vertice,50000,0.264198017667441
Kruskal,26,USA-road-d.,264346,0.0022789425474514236
Kruskal,26,USA-road-d.,321270,-0.13318015359567448
Kruskal,28,Erdos-Renyi random p=0.002000,50000,0.2156144112946068
Kruskal,28,Erdos-Renyi random p=0.200000,10000,0.3127646844925972
Kruskal,28,Preferential attachment 1000 edges per vertice,10000,0.3670995285166222
Kruskal,28,Preferential attachment 50 edges per vertice,50000,0.272421089610291
Kruskal,28,USA-road-d.,264346,-0.00818993553688574
Kruskal,28,USA-road-d.,321270,-0.12991857220436476
Kruskal,30,Erdos-Renyi random p=0.002000,50000,0.22262752753488602
Kruskal,30,Erdos-Renyi random p=0.200000,10000,0.29150104655472675
Kruskal,30,Preferential attachment 1000 edges per vertice,10000,0.33507926690547485
Kruskal,30,Preferential attachment 50 edges per vertice,50000,0.26090949866977287
Kruskal,30,USA-road-d.,264346,0.0044578241287484
Kruskal,30,USA-road-d.,321270,-0.1346616572909325
